t=2026-07-31T09:49:03+0600 lvl=info msg="no configuration paths supplied"
t=2026-07-31T09:49:03+0600 lvl=info msg="using configuration at default config path" path="/Users/ashikkhan/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-31T09:49:03+0600 lvl=info msg="open config file" path="/Users/ashikkhan/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-07-31T09:51:58+0600 lvl=info msg="join connections" obj=join id=7383efb52332 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:58+0600 lvl=info msg="join connections" obj=join id=0296af6321d8 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:58+0600 lvl=info msg="join connections" obj=join id=394f29b92fb2 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:59+0600 lvl=info msg="join connections" obj=join id=a278986c0c48 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:59+0600 lvl=info msg="join connections" obj=join id=59104f323d4d l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:59+0600 lvl=info msg="join connections" obj=join id=efbb9af6f647 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:51:59+0600 lvl=info msg="join connections" obj=join id=99cc7df0b3f6 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=1014345c9d2f l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=d3cc385c4acc l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=3e433142b1c4 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=c6ea8aeaed71 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=d400d2f5f133 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=38846e4b490a l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=4d9fdf71e6d1 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=8220cdaecceb l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=2483640cb043 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=3bdb3089a73f l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=3606840c5573 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=eeaaabb7f388 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=d6a22543a8d3 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=23424e547405 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=d5e72610e393 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=c9dbd8fff119 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=80330d8f1f07 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=28bd3d8c3569 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=06ea163cf700 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=5e1cee628036 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=2519e884c90e l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=ddb2f95bc822 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:01+0600 lvl=info msg="join connections" obj=join id=10c3c93e1239 l=127.0.0.1:3000 r=103.130.11.3:54404
t=2026-07-31T10:19:03+0600 lvl=info msg="join connections" obj=join id=a6f2bd6e7173 l=127.0.0.1:3000 r=103.130.11.3:54430
t=2026-07-31T10:34:38+0600 lvl=info msg="join connections" obj=join id=f38c4ca193c1 l=127.0.0.1:3000 r=103.130.11.1:54765
t=2026-07-31T10:34:38+0600 lvl=info msg="join connections" obj=join id=fdc0f00ac4aa l=127.0.0.1:3000 r=103.130.11.44:54766
t=2026-07-31T10:34:38+0600 lvl=info msg="join connections" obj=join id=f7170e823982 l=127.0.0.1:3000 r=103.130.11.44:54766
t=2026-07-31T11:13:58+0600 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=717f5abf1122 clientid=ee12a4c044a6efaec95f989991e09f0c
t=2026-07-31T11:13:58+0600 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=5854cdea9d62 err="session closed"
t=2026-07-31T11:14:06+0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-31T11:14:06+0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-31T11:14:08+0600 lvl=info msg="join connections" obj=join id=698dabeaa56f l=127.0.0.1:3000 r=103.130.11.34:55402
t=2026-07-31T11:14:41+0600 lvl=info msg="join connections" obj=join id=fb957312f743 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:41+0600 lvl=info msg="join connections" obj=join id=4ad8f59dabe7 l=127.0.0.1:3000 r=103.130.11.34:55423
t=2026-07-31T11:14:41+0600 lvl=info msg="join connections" obj=join id=21a0641e660c l=127.0.0.1:3000 r=103.130.11.34:55423
